Neighborhood,pct_white,pct_black,pct_asian,pct_latino,pct_other_minority,Median Age,% of Occupied Units,median_rent,Unemployment Rate,Median Income,avg_commute_mins,% Bachelors Degree,cluster
Allston,0.5419614729122554,0.06166399834736353,0.21690853690027373,0.13809843515984094,0.04136755668026649,26,0.902,2150,0.06853263901803985,46982.76,3153.3333333333335,0.7191553830129722,3
Back Bay,0.7554467429577465,0.041648327464788734,0.09870158450704225,0.08142605633802817,0.022777288732394367,33,0.675,2800,0.044718373222962016,102070.55,3490.3333333333335,0.8504870817450233,1
Beacon Hill,0.8344785150241001,0.012614090862475643,0.061839811301404986,0.06932622295149216,0.021741359860527127,32,0.661,2450,0.03642334676817438,98069.24,2126.6666666666665,0.8977101157523906,1
Brighton,0.6502655209037366,0.04416336777058994,0.15913874674133435,0.10831321811335329,0.038119146470985805,29,0.763,1800,0.04915912031047864,62041.2,9889.666666666666,0.6504412421805184,3
Charlestown,0.731971853341093,0.05835670070366647,0.07163642135336755,0.11840643352203586,0.019628591079837044,35,0.545,2500,0.03895177823335416,103243.16,3556.0,0.6348647902869757,1
Dorchester,0.21524927151897227,0.45383375546857013,0.09445242840242324,0.18093324970027075,0.05553129490976363,33,0.652,1800,0.10392089603436194,49662.36,20070.333333333332,0.25705478392306685,2
Downtown,0.5639042147773164,0.03429839030771856,0.31625049769637675,0.06057675900119447,0.024970138217393776,33,0.725,3070,0.09373708143861104,67367.09,2822.6666666666665,0.6124075128059192,1
East Boston,0.3256671310684814,0.025570678383881686,0.038066659522023365,0.5741506805272747,0.036544850498338874,34,0.714,1750,0.06632559166697338,52935.36,8300.0,0.22818008721822983,2
Fenway,0.6012025277624394,0.04457328670470581,0.20314129701208664,0.11589668077796184,0.03518620774280631,23,0.88,2350,0.1135332025777529,39549.84,5031.0,0.7445331205107741,3
Hyde Park,0.24454089610179544,0.4553566614546827,0.017981344691863913,0.24882730360705235,0.0332937941446056,39,0.392,1650,0.07987749774073705,70810.13,6103.333333333333,0.2841712642784987,2
Jamaica Plain,0.5505417917281376,0.11189398178765834,0.061581116141832426,0.23716742127486393,0.03881568906750776,34,0.535,1900,0.04708896916743677,84445.9,7280.666666666667,0.6456562795089708,2
Longwood,0.7019855260716273,0.05863796622750046,0.11170903692707367,0.09834848766004825,0.02931898311375023,20,0.825,2175,0.12163579168123029,35000.0,761.0,0.7384615384615385,3
Mattapan,0.06796685687485343,0.7300867662002658,0.01770499491909638,0.15320878605487376,0.031032595950910655,37,0.621,1570,0.11175496688741726,48196.9,3973.6666666666665,0.16838038970630007,2
Mission Hill,0.43875675054578883,0.1592554291623578,0.18464897161898197,0.20033321843042629,0.017005630242445134,26,0.906,1900,0.10170949360283843,35707.32,2602.3333333333335,0.4849349825562956,3
North End,0.8840470283680293,0.004853845324129005,0.032358968827526695,0.06385503181965269,0.014885125660662281,30,0.712,2300,0.014757451782583253,97110.39,2275.0,0.7951270631385905,1
Roslindale,0.5129767855920017,0.20540299938368828,0.02037252619324796,0.23067177977127987,0.030575909059782237,39,0.432,1600,0.04612084376117265,76666.67,5271.333333333333,0.4477759009009009,2
Roxbury,0.10528105167724389,0.5146192203082502,0.03666137805983681,0.3002606527651859,0.04317769718948323,32,0.795,1610,0.12934620199491176,27721.35,7225.333333333333,0.222312322614852,2
South Boston,0.7697448359659781,0.06274163260797526,0.042444493538053685,0.10921793880481609,0.015851099083176848,32,0.605,2900,0.050075934819193035,93077.6,7544.666666666667,0.6140093486642328,1
South Boston Waterfront,0.8141155968632007,0.027301771710717397,0.1074644205634621,0.03020621550972989,0.02091199535288992,33,0.62,3185,0.027143981117230487,150677.51,869.3333333333334,0.8197596795727636,0
South End,0.559207240948814,0.10564918851435705,0.16594881398252184,0.13526841448189764,0.033926342072409486,35,0.588,2700,0.05541191381495569,86994.8,6026.666666666667,0.6577092852164486,1
West End,0.6262757168313624,0.06998218046330795,0.150494087153734,0.12651871051352664,0.02672930503806901,34,0.791,2800,0.051357733175914966,96787.15,1065.6666666666667,0.735837922895358,1
West Roxbury,0.6939286766872974,0.1035366931918656,0.07556734453286178,0.10179781903919835,0.025169466548776893,43,0.354,1810,0.04957883430380461,80804.46,5660.333333333333,0.5209797149775713,2
